web-scraper-order;technos_name
1627421786-57;Flask
1627421786-43;Cloud
1627421786-36;PostgreSQL
1627421786-39;Scala
1627421786-29;Ruby on Rails
1627421786-31;HTML5
1627421786-61;Kubernetes
1627421786-16;Kubernetes
1627421786-55;Typescript
1627421786-28;Ruby
1627421786-40;PHP
1627421786-25;Python
1627421786-18;Devops
1627421786-50;Python
1627421786-13;Cloud
1627421786-27;Azure
1627421786-33;Ruby on Rails
1627421786-47;Rest
1627421786-45;Kubernetes
1627421786-54;Node.js
1627421786-15;Docker
1627421786-42;Devops
1627421786-21;Docker
1627421786-53;React.js
1627421786-60;Docker
1627421786-38;Java
1627421786-20;AWS
1627421786-34;Ruby
1627421786-51;Django
1627421786-48;Git
1627421786-52;React.js
1627421786-46;Django
1627421786-14;Azure
1627421786-22;Kubernetes
1627421786-44;Docker
1627421786-30;PostgreSQL
1627421786-19;Cloud
1627421786-12;Devops
1627421786-32;CSS
1627421786-24;AWS
1627421786-59;Devops
1627421786-35;Javascript
1627421786-58;Django
1627421786-41;React.js
1627421786-56;Python
1627421786-49;SQL
1627421786-26;.NET
